25	10380502485	25	680124347	25	120
24	15012468374	24	1786032491	24	135
30	11161137651	30	998862021	30	397
19	10062952139	19	1353220544	19	128
23	8525287154	23	927104493	23	401
21	14180606403	21	1042941434	21	177
32	9219090628	32	636549007	32	135
29	12329316518	29	694441747	29	510
28	12533391566	28	1257791930	28	129
35	9781417053	35	615829411	35	481
17	7819997588	17	750139787	17	89
25	11383418623	25	563725593	25	156
26	10770328875	26	938519469	26	124
25	8887794862	25	859462726	25	248
18	8804587513	18	1293782983	18	106
26	11116943556	26	811040421	26	483
22	11974603672	22	1046833800	22	136
28	10959561392	28	239579328	28	597
18	6419986876	18	941494454	18	57
26	10747888546	26	1007525091	26	119
19	4451878397	19	305461083	19	103
27	9278015826	27	306192893	27	98
22	7728767735	22	849123066	22	90
19	12768841104	19	1116746663	19	94
14	8319388534	14	1180134938	14	85
23	12564284757	23	937557357	23	486
26	9959814435	26	1117139236	26	119
15	10560797712	15	1239892181	15	126
25	9256514641	25	848755654	25	92
26	10509965380	26	1058763983	26	126
23	8607435717	23	566601667	23	100
25	8031961236	24	730233881	25	97
25	13815281129	25	1166523826	25	451
22	14081907944	22	1049770611	22	171
20	7055165087	20	430865954	20	105
30	7752228427	30	127324464	30	326
31	11159052673	31	678770455	31	435
24	10490106790	24	1368958194	24	108
31	6190465414	21	253515828	31	98
22	7813679168	22	859568318	22	91
22	8607037607	22	918559024	22	94
22	8230850715	22	1054230006	22	96
25	7982989724	25	485900698	25	426
25	13374241148	25	1054498616	25	506
29	12694603838	29	1101547634	29	152
26	10814607986	26	544498602	26	449
19	10231014429	19	1287273380	19	123
25	12517216298	25	1232794345	25	155
18	6148505628	18	556822523	18	76
24	8795214172	24	244908697	24	478
20	9730740029	20	917754189	20	101
26	12675533508	26	1173274262	26	151
24	9870206329	24	935808806	24	124
31	13282558815	28	989765694	31	154
30	14211907076	30	680057168	30	523
22	6916656766	22	801888262	22	90
17	8902838077	17	1002562399	17	101
28	26871710560	28	735678984	28	598
26	4775470507	26	373715017	26	64
21	6638093364	21	621602194	21	100
33	7067156444	33	741616237	33	76
34	14084772358	32	1104114550	34	169
22	7871756722	22	547683936	22	100
26	7231309134	26	494233249	26	429
24	14206158393	24	1232707862	24	333
28	9619704081	27	1050822548	28	117
26	12769501992	26	1045672291	26	365
28	6865553715	28	557814747	28	93
27	8628217135	27	483203175	27	125
19	16999209733	19	1478655214	19	377
29	11730145290	29	618776647	29	472
19	9809024257	19	988857629	19	142
14	8059350687	14	1178981662	14	107
27	10041118150	23	560696622	27	139
27	13787727303	27	1306623313	27	413
27	9498548695	27	815645746	27	105
21	9263964997	21	934659468	21	100
25	8243169427	25	679512254	25	95
31	12315623360	31	858139439	31	275
16	6418999151	16	562609246	16	76
25	8070911378	25	189660946	25	565
17	8068276483	17	1319450900	17	88
24	6722905226	24	676430585	24	76
23	9793832998	23	1292198809	23	109
26	9390716839	26	1114444866	26	102
26	10952352784	26	1618221805	26	100
22	8454848441	22	250769290	22	459
29	10376877647	29	993337045	29	116
32	7722482273	32	494117527	32	462
17	6768336743	17	680846817	17	105
26	11072377107	26	687760433	26	153
29	19379460888	29	1246759432	29	602
25	12601192527	25	1119681776	25	155
35	13723235652	35	1060883861	35	148
30	11924842797	30	1044341667	30	407
19	11670698591	19	1402636468	19	475
21	10313086316	21	1044735789	21	539
27	5622123948	24	318446121	27	75
31	13229577737	31	1048508100	31	524
27	5969103090	27	121944362	27	71
