3	132
8	7
5	60
5	15
6	11
11	12
5	252
5	126
12	478
9	748
10	404
6	250
1	2
5	31
7	363
6	2
11	3
12	29
2	2
8	7
4	2
5	2
6	256
6	232
3	2
8	219
3	2
8	489
10	391
11	2
10	266
4	112
5	2
12	539
10	295
8	2
3	4
7	8
9	2
7	612
8	2
12	231
13	2
6	10
6	47
12	402
4	31
10	5
11	99
5	131
5	4
11	239
7	206
7	2
5	632
8	3
6	250
10	397
1	395
12	4
10	914
6	8
4	48
7	4
9	14
9	8
10	2
9	187
8	2
7	34
6	37
7	2
7	202
4	58
6	1
8	507
8	203
11	238
7	14
1	56
7	22
4	50
9	417
12	242
7	101
7	295
6	264
9	220
3	250
11	6
6	573
6	192
7	10
3	233
13	6
12	213
3	2
6	139
6	134
3	2
