8	34
7	18
7	33
4	6
10	61
8	29
10	80
12	47
12	29
8	16
12	425
7	52
6	12
5	19
4	16
10	37
6	23
8	19
8	28
7	39
7	27
4	23
8	22
7	2
7	35
6	2
6	16
6	82
8	19
7	28
6	18
8	65
4	14
8	42
9	394
7	12
6	13
9	36
11	33
8	12
3	30
8	21
7	19
9	246
8	22
12	501
11	87
10	136
11	118
6	37
5	91
8	2
7	35
9	246
3	7
10	30
11	13
7	19
7	48
6	22
6	28
7	14
10	2
2	15
2	9
3	26
8	174
4	11
6	32
9	60
4	282
10	16
7	23
5	24
1	9
3	16
6	18
8	16
10	31
2	103
4	21
4	17
14	4
10	50
8	15
11	45
5	10
13	34
13	318
6	4
1	8
7	422
7	2
3	18
9	25
8	193
8	10
9	16
8	13
1	8
