15	4
5	22
1	35
5	6
8	8
10	30
5	11
12	144
9	18
10	39
5	23
11	8
8	98
7	8
9	458
7	12
12	299
9	32
9	8
12	132
6	76
6	2
9	4
3	42
4	378
7	23
10	344
9	2
8	68
6	108
12	17
11	191
7	284
7	1
6	2
11	160
10	284
10	177
10	641
5	158
6	1
6	398
2	4
4	59
3	2
6	546
10	132
12	497
8	5
3	8
10	137
8	341
11	22
3	389
8	133
8	2
9	741
10	285
8	191
7	220
8	143
5	232
6	215
6	223
8	74
9	154
10	133
8	619
8	2
5	51
8	27
2	1
9	32
8	169
9	594
4	7
7	280
8	101
8	325
4	21
9	10
6	26
7	73
8	2
7	11
5	19
11	21
6	472
11	448
9	322
8	10
10	192
12	2
2	9
8	131
4	288
9	139
11	243
5	453
10	190
