8	6
7	3
3	5
7	85
6	32
8	203
9	393
6	261
11	6
6	2
5	635
5	382
9	363
7	202
4	65
2	162
7	8
4	4
2	248
9	13
9	14
11	544
10	640
5	235
8	457
6	175
14	489
7	312
8	217
6	17
6	11
7	331
11	1
10	694
9	303
10	4
10	320
2	4
12	4
8	15
10	379
7	293
7	334
8	12
7	18
6	92
15	2
4	5
12	192
3	171
3	10
9	17
7	61
10	626
11	13
7	2
7	2
7	2
8	17
7	6
6	88
11	771
6	2
3	8
9	8
13	331
5	7
7	13
12	16
6	266
12	278
8	94
13	876
11	4
8	7
6	281
7	448
11	9
4	16
5	13
9	258
8	297
8	545
7	116
9	4
12	389
10	366
5	2
10	15
7	286
7	43
5	14
11	8
12	398
14	2
6	275
6	180
9	67
6	67
5	271
