7	2
11	2
1	175
3	611
7	12
3	29
5	178
4	722
10	456
13	1154
4	4
9	28
12	4
12	443
5	4
9	27
7	13
8	1
10	20
14	331
3	216
7	984
5	12
9	242
6	18
10	1
10	2
9	455
7	6
5	53
7	2
9	2
4	125
8	174
9	365
7	698
10	2
11	1328
8	2
9	2
7	284
9	825
10	8
5	40
7	2
14	712
1	2
10	78
5	52
1	113
10	5
9	5
5	13
6	8
5	5
1	343
10	209
3	2
9	621
3	4
5	2
1	205
13	427
5	3
5	256
5	8
4	3
10	17
7	43
11	2
5	2
8	19
8	635
11	9
8	2
6	44
9	2
7	2
8	3
11	2
8	592
6	715
8	4
11	4
6	103
11	1016
18	10
13	602
11	6
6	118
6	25
12	586
4	245
7	45
7	2
6	2
7	317
4	2
2	137
12	3
