21	21	142575	104555	65
15	15	95050	95050	40
20	20	142575	123565	56
17	17	133070	114060	64
12	12	161585	142575	60
9	9	123565	104555	34
18	18	95050	95050	46
17	17	123565	104555	82
12	12	256635	218615	66
9	9	237625	190100	63
16	16	76040	76040	66
12	12	66535	66535	38
17	17	95050	95050	64
13	13	104555	104555	54
13	13	66535	66535	52
17	17	161585	142575	81
19	19	76040	76040	60
13	13	190100	142575	64
13	13	142575	133070	55
15	15	190100	142575	61
18	18	85545	85545	55
22	22	180595	161585	75
10	10	104555	95050	37
20	20	104555	104555	76
9	9	85545	85545	39
17	17	152080	152080	78
23	23	66535	66535	59
17	17	66535	66535	48
17	17	104555	104555	70
18	18	209110	199605	59
12	12	152080	142575	49
10	10	228120	171090	60
21	21	152080	142575	87
15	15	114060	114060	57
24	24	161585	161585	87
16	16	152080	152080	76
11	11	66535	66535	23
11	11	190100	180595	67
7	7	57030	47525	30
18	18	66535	66535	68
12	12	247130	228120	55
16	16	209110	190100	72
10	10	85545	85545	23
20	20	133070	133070	71
6	6	133070	133070	25
10	10	123565	123565	50
13	13	76040	76040	52
17	17	161585	152080	78
15	15	285150	266140	81
11	11	47525	47525	45
16	16	209110	199605	72
21	21	199605	133070	71
14	14	104555	104555	60
14	14	218615	199605	69
15	15	104555	95050	48
22	22	180595	180595	82
15	15	104555	104555	38
13	13	104555	104555	52
14	14	228120	209110	70
12	12	161585	114060	52
19	19	47525	47525	39
15	15	190100	171090	51
19	19	57030	57030	42
21	21	133070	114060	50
12	12	123565	104555	57
15	15	104555	104555	79
12	12	47525	47525	32
21	21	114060	114060	79
16	16	114060	114060	59
19	19	218615	180595	70
12	12	66535	66535	28
16	16	199605	180595	78
11	11	114060	114060	54
9	9	218615	190100	79
16	16	133070	104555	71
16	16	85545	85545	70
19	19	85545	85545	43
14	14	76040	66535	34
16	16	123565	123565	62
14	14	114060	95050	55
14	14	76040	76040	43
12	12	28515	28515	34
25	25	104555	85545	85
10	10	85545	85545	25
14	14	256635	199605	70
11	11	57030	57030	34
11	11	199605	180595	59
10	10	218615	199605	63
8	8	152080	152080	45
17	17	76040	76040	38
17	17	133070	123565	58
11	11	76040	76040	32
17	17	228120	190100	67
15	15	114060	104555	46
19	19	256635	209110	76
20	20	171090	171090	77
18	18	66535	66535	43
16	16	161585	152080	67
12	12	85545	85545	54
13	13	142575	142575	53
