4	396
9	23
7	11
8	2
6	201
6	98
7	145
4	12
15	2
6	2
9	296
9	4
10	281
6	44
5	23
2	3
4	10
15	1131
9	774
8	2
8	448
11	15
6	4
6	8
10	734
2	108
9	232
10	593
5	2
16	6
9	191
9	635
8	18
11	2
7	2
7	2
8	756
10	16
9	522
10	903
9	297
8	153
8	2
11	2
9	539
7	2
8	14
2	6
7	631
8	498
5	4
8	1512
6	2
10	647
5	325
9	746
5	30
1	8
9	163
1	3
6	8
5	269
1	6
8	5
9	7
6	16
6	1226
4	57
9	822
4	52
7	8
7	18
8	1011
11	1194
5	2
7	568
8	986
11	16
5	2
4	16
8	1019
7	61
12	558
8	84
9	4
6	2
7	2
1	446
8	1331
6	21
8	2
10	23
1	407
10	376
5	88
6	12
7	735
7	2
5	4
8	871
