6	3
10	17
6	126
17	1
5	8
11	14
11	1152
4	6
6	47
6	19
12	2
11	471
7	386
9	6
8	22
7	210
4	252
15	1110
8	604
6	5
5	849
8	7
8	4
3	682
4	128
9	4
6	8
7	60
6	157
4	12
7	2
5	11
12	685
7	365
5	2
14	6
12	737
7	426
7	2
8	2
9	15
6	46
10	932
6	561
6	2
11	20
6	6
5	245
8	30
7	2
13	414
2	208
7	77
6	2
8	3
6	2
9	10
2	256
7	171
7	606
10	12
2	4
3	6
14	2
4	12
2	2
1	2
4	5
6	294
4	261
5	14
9	527
9	2
13	1560
7	332
8	29
8	23
9	13
7	43
9	470
3	12
10	446
6	202
4	130
12	431
6	27
4	288
5	7
6	306
12	107
3	486
9	2
5	4
10	318
8	69
4	10
11	50
15	4
10	34
12	441
