11	11	161585	114060	53
13	13	104555	104555	88
15	15	47525	47525	61
13	13	180595	161585	57
12	12	114060	95050	65
10	10	104555	104555	52
15	15	161585	161585	66
13	13	142575	133070	117
12	12	66535	66535	50
10	10	133070	114060	35
12	12	95050	95050	106
7	7	114060	104555	45
13	13	95050	85545	29
13	13	66535	57030	42
19	19	38020	38020	37
11	11	190100	152080	51
18	18	66535	66535	79
15	15	104555	104555	43
20	20	285150	247130	95
18	18	76040	76040	40
11	11	209110	209110	81
19	19	57030	57030	84
9	9	304160	218615	59
13	13	95050	85545	58
19	19	66535	66535	56
15	15	47525	47525	40
16	16	209110	171090	75
9	9	38020	38020	50
17	17	95050	85545	69
6	6	180595	123565	48
19	19	104555	104555	48
18	18	95050	85545	71
13	13	142575	133070	68
13	13	133070	133070	86
18	18	66535	66535	86
12	12	104555	95050	65
11	11	114060	95050	53
18	18	114060	114060	35
9	9	38020	38020	46
13	13	161585	152080	68
15	15	38020	38020	63
12	12	104555	104555	32
14	14	95050	85545	32
14	14	152080	104555	37
16	16	76040	76040	84
14	14	114060	114060	33
14	14	85545	85545	62
17	17	161585	133070	75
15	15	161585	142575	68
16	16	228120	180595	82
15	15	247130	180595	54
20	20	76040	76040	72
15	15	123565	114060	64
13	13	57030	57030	45
15	15	66535	66535	56
11	11	123565	123565	69
17	17	161585	152080	98
16	16	57030	57030	64
10	10	218615	190100	47
12	12	142575	133070	70
19	19	66535	66535	70
9	9	95050	95050	31
15	15	152080	142575	64
12	12	104555	95050	64
15	15	114060	104555	76
13	13	95050	85545	34
8	8	304160	256635	38
13	13	171090	161585	67
15	15	152080	133070	49
22	22	209110	180595	117
14	14	114060	104555	67
12	12	161585	152080	70
14	14	85545	85545	40
8	8	76040	76040	37
16	16	190100	171090	59
11	11	171090	152080	87
14	14	161585	133070	44
14	14	190100	171090	44
12	12	133070	123565	49
16	16	95050	85545	51
19	19	76040	76040	72
14	14	104555	104555	48
13	13	47525	47525	44
8	8	114060	104555	49
14	14	218615	190100	73
12	12	95050	76040	58
19	19	57030	57030	94
14	14	66535	66535	41
15	15	152080	142575	69
17	17	209110	190100	45
19	19	95050	95050	99
9	9	85545	76040	20
15	15	199605	142575	66
11	11	95050	95050	49
23	23	76040	66535	85
16	16	38020	38020	67
9	9	237625	218615	56
12	12	199605	152080	40
14	14	38020	38020	48
15	15	114060	104555	69
