17	17	190100	123565	125
20	20	199605	171090	66
27	27	95050	95050	70
17	17	171090	152080	115
25	25	76040	76040	121
22	22	171090	171090	116
26	26	209110	180595	124
33	33	47525	47525	137
17	17	38020	38020	55
18	18	161585	142575	101
23	23	237625	209110	114
28	28	76040	76040	77
22	22	199605	171090	117
23	23	180595	152080	118
16	16	152080	142575	101
22	22	152080	142575	81
27	27	85545	85545	111
22	22	133070	123565	111
23	23	209110	180595	135
33	33	57030	57030	142
16	16	171090	152080	88
21	21	47525	47525	66
14	14	47525	47525	44
27	27	95050	95050	89
19	19	76040	76040	88
23	23	38020	38020	149
18	18	38020	38020	109
24	24	85545	76040	66
29	29	237625	190100	115
15	15	76040	76040	90
12	12	171090	161585	72
28	28	95050	76040	106
22	22	66535	66535	135
15	15	104555	95050	79
22	22	66535	66535	110
23	23	180595	161585	122
24	24	180595	180595	107
21	21	104555	95050	84
18	18	266140	228120	84
18	18	114060	95050	59
19	19	104555	95050	100
29	29	171090	171090	145
24	24	209110	190100	131
23	23	161585	152080	102
12	12	152080	152080	44
20	20	114060	104555	128
27	27	38020	38020	87
26	26	218615	190100	155
15	15	66535	66535	85
27	27	152080	142575	118
24	24	247130	228120	135
14	14	66535	66535	67
20	20	171090	152080	100
21	21	95050	85545	118
23	23	95050	95050	84
19	19	133070	133070	69
24	24	152080	152080	112
17	17	123565	104555	91
28	28	114060	104555	113
27	27	161585	142575	87
18	18	114060	104555	107
22	22	47525	47525	82
26	26	161585	152080	141
30	30	199605	171090	138
26	26	142575	142575	157
25	25	275645	237625	141
17	17	180595	142575	107
19	19	209110	190100	93
17	17	95050	95050	100
19	19	152080	152080	114
21	21	123565	114060	86
20	20	85545	76040	107
21	21	247130	209110	118
29	29	114060	114060	88
15	15	57030	57030	105
23	23	123565	104555	74
21	21	114060	114060	125
19	19	104555	104555	72
21	21	218615	190100	173
29	29	123565	123565	149
23	23	38020	38020	81
29	29	114060	104555	108
16	16	66535	66535	54
20	20	209110	142575	109
20	20	123565	114060	106
24	24	76040	76040	106
25	25	38020	38020	79
22	22	275645	199605	107
22	22	180595	161585	133
27	27	133070	133070	75
24	24	171090	161585	122
26	26	247130	209110	129
24	24	85545	76040	136
20	20	190100	142575	127
20	20	161585	142575	65
30	30	66535	66535	121
12	12	171090	161585	84
20	20	85545	85545	139
24	24	133070	123565	151
16	16	180595	152080	67
